R_fighter,B_fighter,date,Winner,target,weight_class,R_age,B_age,R_fights_since_finish,R_win_rate_l5_vs_career,R_finish_rate_trend,R_longest_lose_streak_ever,R_comeback_flag,R_avg_fights_between_losses,B_fights_since_finish,B_win_rate_l5_vs_career,B_finish_rate_trend,B_longest_lose_streak_ever,B_comeback_flag,B_avg_fights_between_losses,fights_since_finish_dif,win_rate_l5_vs_career_dif,finish_rate_trend_dif,longest_lose_streak_ever_dif,comeback_flag_dif,avg_fights_between_losses_dif,R_cum_fights,B_cum_fights
Alan Patrick,Damir Hadzovic,2018-02-03,Red,1,Lightweight,34,31,4.0,-0.1333333333333333,-0.2,1.0,0.0,3.0,0.0,0.014285714285714346,-0.04285714285714293,2.0,1.0,3.0,4.0,-0.14761904761904765,-0.15714285714285708,-1.0,-1.0,0.0,15,14
Maia Stevenson,Polyana Viana,2018-02-03,Blue,0,Women's Strawweight,35,25,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,0.0,0.09090909090909094,0.09090909090909094,1.0,0.0,3.0,2.0,-0.1575757575757576,-0.1575757575757576,1.0,0.0,0.0,6,11
Iuri Alcantara,Joe Soto,2018-02-03,Red,1,Bantamweight,37,30,2.0,-0.3727272727272727,-0.21363636363636362,2.0,0.0,3.0,2.0,-0.15000000000000002,-0.22499999999999998,3.0,1.0,3.0,0.0,-0.22272727272727266,0.011363636363636354,-1.0,-1.0,0.0,44,24
Thiago Santos,Anthony Smith,2018-02-03,Red,1,Middleweight,34,29,0.0,-0.16190476190476188,0.02857142857142858,2.0,1.0,3.0,0.0,0.09268292682926838,-0.05853658536585371,4.0,0.0,3.0,0.0,-0.25458768873403026,0.08710801393728229,-2.0,1.0,0.0,21,41
Sergio Moraes,Tim Means,2018-02-03,Red,1,Welterweight,35,33,4.0,-0.15000000000000002,-0.3,1.0,0.0,3.0,4.0,-0.31794871794871793,-0.3641025641025641,2.0,1.0,3.0,0.0,0.1679487179487179,0.0641025641025641,-1.0,-1.0,0.0,16,39
Tyson Pedro,Saparbeg Safarov,2018-02-10,Red,1,Light Heavyweight,26,31,1.0,-0.07499999999999996,-0.07499999999999996,1.0,0.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,-1.0,-0.008333333333333304,-0.008333333333333304,-1.0,0.0,0.0,8,6
Mark Hunt,Curtis Blaydes,2018-02-10,Blue,0,Heavyweight,43,26,0.0,0.09999999999999998,0.21538461538461534,6.0,1.0,3.0,0.0,-0.018181818181818188,-0.12727272727272732,1.0,0.0,3.0,0.0,0.11818181818181817,0.34265734265734266,5.0,1.0,0.0,26,11
Yoel Romero,Luke Rockhold,2018-02-10,Red,1,Middleweight,40,33,1.0,-0.05714285714285705,-0.11428571428571432,1.0,0.0,3.0,0.0,-0.042105263157894646,0.06315789473684219,1.0,0.0,3.0,1.0,-0.015037593984962405,-0.17744360902255651,0.0,0.0,0.0,14,19
Tai Tuivasa,Cyril Asker,2018-02-10,Red,1,Heavyweight,24,32,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.15000000000000002,0.016666666666666607,1.0,0.0,3.0,0.0,0.15000000000000002,-0.016666666666666607,-1.0,0.0,0.0,7,12
Jake Matthews,Li Jingliang,2018-02-10,Red,1,Welterweight,23,29,4.0,-0.21250000000000002,-0.425,2.0,1.0,3.0,0.0,0.022222222222222254,0.0444444444444444,1.0,0.0,3.0,4.0,-0.23472222222222228,-0.4694444444444444,1.0,1.0,0.0,16,18
Damien Brown,Dong Hyun Ma,2018-02-10,Blue,0,Lightweight,33,29,3.0,-0.20714285714285707,-0.19285714285714284,4.0,0.0,3.0,0.0,0.023076923076923106,-0.06153846153846154,2.0,1.0,3.0,3.0,-0.23021978021978018,-0.1313186813186813,2.0,-1.0,0.0,28,26
Rob Wilkinson,Israel Adesanya,2018-02-10,Blue,0,Middleweight,25,28,1.0,-0.11666666666666659,-0.033333333333333326,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.11666666666666659,-0.033333333333333326,1.0,0.0,0.0,12,11
Jussier Formiga,Ben Nguyen,2018-02-10,Red,1,Flyweight,32,29,0.0,-0.20000000000000007,-0.15999999999999998,1.0,0.0,3.0,0.0,0.07272727272727275,0.009090909090909038,3.0,0.0,3.0,0.0,-0.2727272727272728,-0.16909090909090901,-2.0,0.0,0.0,25,22
Ross Pearson,Mizuto Hirota,2018-02-10,Red,1,Lightweight,33,36,8.0,-0.3588235294117647,-0.35294117647058826,4.0,0.0,3.0,3.0,-0.04285714285714293,0.04285714285714287,3.0,1.0,3.0,5.0,-0.3159663865546218,-0.39579831932773113,1.0,-1.0,0.0,34,28
Teruto Ishihara,Jose Quinonez,2018-02-10,Blue,0,Bantamweight,26,27,3.0,-0.025000000000000022,-0.09999999999999998,2.0,0.0,3.0,2.0,-0.1777777777777778,-0.2444444444444444,2.0,1.0,3.0,1.0,0.1527777777777778,0.14444444444444443,0.0,-1.0,0.0,16,9
Luke Jumeau,Daichi Abe,2018-02-10,Red,1,Welterweight,29,26,2.0,0.050000000000000044,0.03749999999999998,2.0,1.0,3.0,1.0,0.0,-0.06666666666666665,0.0,0.0,3.0,1.0,0.050000000000000044,0.10416666666666663,2.0,1.0,0.0,16,6
Alexander Volkanovski,Jeremy Kennedy,2018-02-10,Red,1,Featherweight,29,25,2.0,0.05882352941176472,-0.16470588235294115,1.0,0.0,3.0,5.0,0.0,-0.45454545454545453,0.0,0.0,3.0,-3.0,0.05882352941176472,0.2898395721925134,1.0,0.0,0.0,17,11
Thiago Alves,Curtis Millender,2018-02-18,Blue,0,Welterweight,34,30,3.0,-0.06666666666666665,-0.22424242424242424,2.0,1.0,3.0,0.0,0.17647058823529416,0.30588235294117644,2.0,1.0,3.0,3.0,-0.2431372549019608,-0.5301247771836006,0.0,0.0,0.0,33,17
Donald Cerrone,Yancy Medeiros,2018-02-18,Red,1,Welterweight,34,30,3.0,-0.3441860465116279,-0.1581395348837209,3.0,0.0,3.0,0.0,0.050000000000000044,0.0,3.0,1.0,3.0,3.0,-0.3941860465116279,-0.1581395348837209,0.0,-1.0,0.0,43,20
Derrick Lewis,Marcin Tybura,2018-02-18,Red,1,Heavyweight,33,32,1.0,0.050000000000000044,-0.10833333333333339,1.0,0.0,3.0,2.0,-0.20000000000000007,-0.25,2.0,1.0,3.0,-1.0,0.2500000000000001,0.1416666666666666,-1.0,-1.0,0.0,24,20
James Vick,Francisco Trinaldo,2018-02-18,Red,1,Lightweight,30,39,0.0,-0.12307692307692308,-0.015384615384615441,1.0,0.0,3.0,2.0,-0.014814814814814725,-0.2444444444444444,1.0,0.0,3.0,-2.0,-0.10826210826210836,0.22905982905982897,0.0,0.0,0.0,13,27
Steven Peterson,Brandon Davis,2018-02-18,Blue,0,Featherweight,27,27,0.0,-0.12727272727272732,0.054545454545454564,2.0,0.0,3.0,2.0,0.13333333333333341,-0.016666666666666663,2.0,1.0,3.0,-2.0,-0.26060606060606073,0.07121212121212123,0.0,-1.0,0.0,22,12
Oskar Piechota,Tim Williams,2018-02-18,Red,1,Middleweight,28,31,1.0,0.09090909090909094,-0.018181818181818188,1.0,0.0,3.0,1.0,0.16666666666666663,-0.21111111111111114,2.0,1.0,3.0,0.0,-0.07575757575757569,0.19292929292929295,-1.0,-1.0,0.0,11,18
Jared Gordon,Diego Ferreira,2018-02-18,Blue,0,Lightweight,29,33,1.0,0.06666666666666665,0.06666666666666665,1.0,0.0,3.0,3.0,-0.2571428571428571,-0.09999999999999998,2.0,0.0,3.0,-2.0,0.32380952380952377,0.16666666666666663,-1.0,0.0,0.0,15,14
Sarah Moras,Lucie Pudilova,2018-02-18,Blue,0,Women's Bantamweight,29,23,0.0,-0.11428571428571432,-0.17142857142857137,1.0,0.0,3.0,2.0,0.022222222222222254,-0.0444444444444444,1.0,0.0,3.0,-2.0,-0.13650793650793658,-0.12698412698412698,0.0,0.0,0.0,7,9
Roberto Sanchez,Joby Sanchez,2018-02-18,Red,1,Flyweight,31,26,1.0,-0.07499999999999996,0.050000000000000044,1.0,0.0,3.0,0.0,-0.0461538461538461,-0.2153846153846154,1.0,0.0,3.0,1.0,-0.028846153846153855,0.26538461538461544,0.0,0.0,0.0,8,13
Joshua Burkman,Alex Morono,2018-02-18,Blue,0,Welterweight,37,27,8.0,-0.4222222222222222,-0.37777777777777777,4.0,1.0,3.0,4.0,-0.12222222222222223,-0.3,2.0,0.0,3.0,4.0,-0.3,-0.07777777777777778,2.0,1.0,0.0,45,18
Sage Northcutt,Thibault Gouti,2018-02-18,Red,1,Lightweight,21,30,4.0,-0.21818181818181825,-0.43636363636363634,1.0,0.0,3.0,0.0,-0.4,-0.2666666666666666,3.0,0.0,3.0,4.0,0.18181818181818177,-0.16969696969696973,-2.0,0.0,0.0,11,15
Geoff Neal,Brian Camozzi,2018-02-18,Red,1,Welterweight,27,26,0.0,0.0,0.20000000000000007,1.0,0.0,3.0,2.0,-0.036363636363636376,-0.036363636363636376,2.0,1.0,3.0,-2.0,0.036363636363636376,0.23636363636363644,-1.0,-1.0,0.0,10,11
Ovince Saint Preux,Ilir Latifi,2018-02-24,Blue,0,Light Heavyweight,34,34,0.0,-0.12727272727272732,0.09999999999999998,3.0,1.0,3.0,0.0,0.10000000000000009,-0.09999999999999998,1.0,0.0,3.0,0.0,-0.2272727272727274,0.19999999999999996,2.0,1.0,0.0,22,20
Mike Perry,Max Griffin,2018-02-24,Blue,0,Welterweight,26,32,1.0,-0.24615384615384617,-0.24615384615384617,1.0,0.0,3.0,1.0,-0.16470588235294115,0.07058823529411762,1.0,0.0,3.0,0.0,-0.08144796380090502,-0.3167420814479638,0.0,0.0,0.0,13,17
Josh Emmett,Jeremy Stephens,2018-02-24,Blue,0,Featherweight,32,31,0.0,-0.12857142857142856,-0.22857142857142854,1.0,0.0,3.0,0.0,-0.06666666666666665,-0.08888888888888885,3.0,1.0,3.0,0.0,-0.06190476190476191,-0.13968253968253969,-2.0,-1.0,0.0,14,45
Jessica Andrade,Tecia Torres,2018-02-24,Red,1,Women's Strawweight,26,28,3.0,0.0608695652173914,-0.12173913043478257,1.0,0.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,1.0,0.12753623188405805,-0.05507246376811592,-1.0,0.0,0.0,23,6
Renan Barao,Brian Kelleher,2018-02-24,Blue,0,Bantamweight,31,31,4.0,-0.44999999999999996,-0.37499999999999994,2.0,1.0,3.0,0.0,0.10769230769230775,0.22307692307692317,3.0,0.0,3.0,4.0,-0.5576923076923077,-0.5980769230769232,-1.0,1.0,0.0,40,26
Albert Morales,Manny Bermudez,2018-02-24,Blue,0,Bantamweight,26,23,5.0,-0.43636363636363634,-0.45454545454545453,2.0,1.0,3.0,0.0,0.0,-0.018181818181818188,0.0,0.0,3.0,5.0,-0.43636363636363634,-0.43636363636363634,2.0,1.0,0.0,11,11
Maryna Moroz,Angela Hill,2018-02-24,Blue,0,Women's Strawweight,26,33,4.0,-0.20000000000000007,-0.39999999999999997,1.0,0.0,3.0,5.0,-0.036363636363636376,-0.2727272727272727,2.0,1.0,3.0,-1.0,-0.1636363636363637,-0.12727272727272726,-1.0,-1.0,0.0,10,11
Ben Saunders,Alan Jouban,2018-02-24,Blue,0,Welterweight,34,36,2.0,-0.07741935483870965,-0.3161290322580645,2.0,0.0,3.0,4.0,-0.11428571428571432,-0.27619047619047615,2.0,0.0,3.0,-2.0,0.03686635944700467,-0.03993855606758834,0.0,0.0,0.0,31,21
Sam Alvey,Marcin Prachnio,2018-02-24,Red,1,Light Heavyweight,31,29,5.0,-0.13809523809523816,-0.5,2.0,1.0,3.0,0.0,0.1333333333333333,0.06666666666666676,1.0,0.0,3.0,5.0,-0.27142857142857146,-0.5666666666666668,1.0,1.0,0.0,42,15
Rani Yahya,Russell Doane,2018-02-24,Red,1,Bantamweight,33,31,0.0,0.07777777777777783,0.07222222222222219,2.0,1.0,3.0,0.0,-0.48181818181818176,-0.3454545454545454,4.0,0.0,3.0,0.0,0.5595959595959596,0.4176767676767676,-2.0,1.0,0.0,36,22
Eric Shelton,Alex Perez,2018-02-24,Blue,0,Flyweight,27,25,3.0,-0.1333333333333333,-0.26666666666666666,2.0,0.0,3.0,0.0,0.17391304347826086,0.208695652173913,2.0,1.0,3.0,3.0,-0.30724637681159417,-0.47536231884057967,0.0,-1.0,0.0,15,23
Sara McMann,Marion Reneau,2018-02-24,Blue,0,Women's Bantamweight,37,40,1.0,-0.1333333333333333,0.0,2.0,1.0,3.0,0.0,-0.2666666666666666,-0.18333333333333335,2.0,1.0,3.0,1.0,0.1333333333333333,0.18333333333333335,0.0,0.0,0.0,15,12
Ashley Yoder,Mackenzie Dern,2018-03-03,Blue,0,Women's Strawweight,30,24,2.0,-0.025000000000000022,-0.09999999999999998,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-0.025000000000000022,-0.09999999999999998,2.0,0.0,0.0,8,5
Cris Cyborg,Yana Kunitskaya,2018-03-03,Red,1,Women's Featherweight,32,28,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,2.0,-0.06666666666666665,-0.06666666666666665,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6
Sean O'Malley,Andre Soukhamthath,2018-03-03,Red,1,Bantamweight,23,29,1.0,0.0,0.022222222222222254,0.0,0.0,3.0,0.0,-0.10588235294117654,-0.04705882352941182,2.0,0.0,3.0,1.0,0.10588235294117654,0.06928104575163407,-2.0,0.0,0.0,9,17
Stefan Struve,Andrei Arlovski,2018-03-03,Blue,0,Heavyweight,30,39,1.0,-0.15675675675675682,-0.27567567567567564,2.0,1.0,3.0,7.0,-0.41904761904761906,-0.47619047619047616,5.0,0.0,3.0,-6.0,0.26229086229086224,0.20051480051480053,-3.0,1.0,0.0,37,42
Cat Zingano,Ketlen Vieira,2018-03-03,Blue,0,Women's Bantamweight,35,26,2.0,-0.21818181818181825,-0.12727272727272732,2.0,0.0,3.0,0.0,0.0,-0.2666666666666666,0.0,0.0,3.0,2.0,-0.21818181818181825,0.1393939393939393,2.0,0.0,0.0,11,9
Frankie Edgar,Brian Ortega,2018-03-03,Blue,0,Featherweight,36,27,0.0,0.014285714285714346,0.007142857142857173,3.0,1.0,3.0,0.0,0.06666666666666665,0.33333333333333337,1.0,0.0,3.0,0.0,-0.052380952380952306,-0.3261904761904762,2.0,1.0,0.0,28,15
John Dodson,Pedro Munhoz,2018-03-03,Red,1,Bantamweight,33,31,3.0,-0.2785714285714286,-0.19285714285714284,1.0,0.0,3.0,0.0,-0.033333333333333326,-0.011111111111111183,2.0,1.0,3.0,3.0,-0.24523809523809526,-0.18174603174603166,-1.0,-1.0,0.0,28,18
