fighter,opponent,date,elo_before,elo_after,result,elo_trend
Aiemann Zahabi,Ricardo Ramos,2017-11-04,1547.404691244538,1487.7247680211606,0.0,
Aiemann Zahabi,Vince Morales,2019-05-04,1490.7935760158705,1439.5173346787828,0.0,
Aiemann Zahabi,Drako Rodriguez,2021-02-20,1454.638001009087,1522.4275294726722,1.0,-45.36199899091298
Aiemann Zahabi,Ricky Turcios,2022-07-09,1516.8206471045041,1567.467684377254,1.0,-30.58404414003394
Aiemann Zahabi,Aoriqileng,2023-06-10,1567.467684377254,1623.9567991001168,1.0,76.67410836138356
Aiemann Zahabi,Javid Basharat,2024-03-02,1623.9567991001168,1669.4536696932687,1.0,169.31879809102975
Aiemann Zahabi,Pedro Munhoz,2024-11-02,1669.4536696932687,1705.1491995138442,1.0,152.63302258876456
Aiemann Zahabi,Jose Aldo,2025-05-10,1705.1491995138442,1755.6876395940462,1.0,137.68151513659018
Aiemann Zahabi,Marlon Vera,2025-10-18,1755.6876395940462,1785.0173155100638,1.0,131.73084049392946
Ailin Perez,Stephanie Egger,2022-09-03,1500.0,1443.5432398844112,0.0,
Ailin Perez,Ashlee Evans-Smith,2023-07-15,1443.5432398844112,1490.2394430456193,1.0,
Ailin Perez,Lucie Pudilova,2023-11-18,1490.2394430456193,1531.3453231796145,1.0,
Ailin Perez,Joselyne Edwards,2024-06-01,1531.3453231796145,1578.453504063879,1.0,31.345323179614525
Ailin Perez,Daria Zhelezniakova,2024-09-28,1578.453504063879,1634.1694011348393,1.0,134.91026417946796
Ailin Perez,Karol Rosa,2025-01-18,1634.1694011348393,1671.9604892866512,1.0,143.92995808922
Ailin Perez,Macy Chiasson,2026-02-28,1628.9703669649884,1665.0487288970874,1.0,97.62504378537392
Aisling Daly,Alex Chambers,2014-12-12,1500.0,1560.0,1.0,
Aisling Daly,Randa Markos,2015-04-25,1560.0,1499.0646398349777,0.0,
Aisling Daly,Ericka Almeida,2015-10-24,1499.0646398349777,1540.7254246654722,1.0,
Akbarh Arreola,Tiago Trator,2014-07-26,1500.0,1452.0,0.0,
Akbarh Arreola,Yves Edwards,2014-11-22,1452.0,1511.1537990749127,1.0,
Akbarh Arreola,Francisco Trinaldo,2015-03-21,1511.1537990749127,1470.2251944490552,0.0,
Akbarh Arreola,Jake Matthews,2015-11-14,1470.2251944490552,1423.7624508190743,0.0,-29.774805550944848
Akira Corassani,Andy Ogle,2012-09-29,1500.0,1536.0,1.0,
Akira Corassani,Robert Peralta,2013-04-06,1536.0,1589.6994073857659,1.0,
Akira Corassani,Maximo Blanco,2013-11-30,1589.6994073857659,1628.3217228012406,1.0,
Akira Corassani,Dustin Poirier,2014-04-16,1628.3217228012406,1581.5636143178003,0.0,128.32172280124064
Akira Corassani,Max Holloway,2014-10-04,1581.5636143178003,1535.6100889554702,0.0,45.56361431780033
Akira Corassani,Sam Sicilia,2015-01-24,1535.6100889554702,1459.6399937678627,0.0,-54.089318430295634
Al Iaquinta,Michael Chiesa,2012-06-01,1500.0,1440.0,0.0,
Al Iaquinta,Ryan Couture,2013-08-31,1455.0,1502.100997222644,1.0,
Al Iaquinta,Piotr Hallmann,2013-10-26,1502.100997222644,1560.6487159234766,1.0,
Al Iaquinta,Kevin Lee,2014-02-01,1560.6487159234766,1600.3538678217203,1.0,60.64871592347663
Al Iaquinta,Mitch Clarke,2014-05-24,1600.3538678217203,1518.3202911756916,0.0,145.3538678217203
Al Iaquinta,Rodrigo Damm,2014-09-05,1518.3202911756916,1582.347401278983,1.0,16.219293953047554
Al Iaquinta,Ross Pearson,2014-11-07,1582.347401278983,1641.2971330545063,1.0,21.698685355506313
Al Iaquinta,Joe Lauzon,2015-01-31,1641.2971330545063,1699.0369741672284,1.0,40.94326523278596
Al Iaquinta,Jorge Masvidal,2015-04-04,1699.0369741672284,1734.4863931444106,1.0,180.7166829915368
Al Iaquinta,Diego Sanchez,2017-04-22,1675.864794858308,1713.3897240409979,1.0,93.51739357932502
Al Iaquinta,Khabib Nurmagomedov,2018-04-07,1713.3897240409979,1674.1535293802242,0.0,72.09259098649159
Al Iaquinta,Kevin Lee,2018-12-15,1674.1535293802242,1744.2885105368377,1.0,-24.883444787004237
Al Iaquinta,Donald Cerrone,2019-05-04,1744.2885105368377,1704.6875274884896,0.0,68.42371567852979
Al Iaquinta,Dan Hooker,2019-10-05,1704.6875274884896,1660.2151122510052,0.0,-8.702196552508212
Al Iaquinta,King Green,2021-11-06,1620.161334188254,1546.6586414487094,0.0,-53.99219519197027
Alan Baudot,Tom Aspinall,2020-10-10,1500.0,1450.2612983608765,0.0,
Alan Baudot,Rodrigo Nascimento,2021-07-17,1450.2612983608765,1397.793979881814,0.0,
Alan Baudot,Parker Porter,2022-02-19,1397.793979881814,1367.9731770780568,0.0,
Alan Baudot,Josh Parisian,2022-06-25,1367.9731770780568,1315.7220045969802,0.0,-132.02682292194322
Alan Belcher,Patrick Cote,2010-05-08,1500.0,1560.0,1.0,
Alan Belcher,Jason MacDonald,2011-09-17,1545.0,1599.0205016483817,1.0,
Alan Belcher,Rousimar Palhares,2012-05-05,1599.0205016483817,1665.7411368789744,1.0,
Alan Belcher,Yushin Okami,2012-12-29,1665.7411368789744,1607.0760970853569,0.0,165.74113687897443
Alan Belcher,Michael Bisping,2013-04-27,1607.0760970853569,1555.8920535439083,0.0,62.07609708535688
Alan Jouban,Seth Baczynski,2014-08-16,1500.0,1562.741318432063,1.0,
Alan Jouban,Warlley Alves,2014-11-08,1562.741318432063,1514.3625991536078,0.0,
Alan Jouban,Richard Walsh,2015-02-28,1514.3625991536078,1574.874105192895,1.0,
Alan Jouban,Matt Dwyer,2015-07-15,1574.874105192895,1612.048110699118,1.0,74.87410519289506
Alan Jouban,Albert Tumenov,2015-10-03,1612.048110699118,1554.8776051680284,0.0,49.306792267055016
Alan Jouban,Brendan O'Reilly,2016-03-19,1554.8776051680284,1606.2919993114197,1.0,40.51500601442058
Alan Jouban,Belal Muhammad,2016-07-07,1606.2919993114197,1640.0488317285412,1.0,31.4178941185246
Alan Jouban,Mike Perry,2016-12-17,1640.0488317285412,1687.1255798924167,1.0,28.000721029423175
Alan Jouban,Gunnar Nelson,2017-03-18,1687.1255798924167,1631.6492898939914,0.0,132.2479747243883
Alan Jouban,Niko Price,2017-08-05,1631.6492898939914,1557.441318005242,0.0,25.35729058257175
Alan Jouban,Ben Saunders,2018-02-24,1557.441318005242,1611.7831657643603,1.0,-82.60751372329923
