fighter,current_elo,last_fight_date,total_fights
Nick Ring,1509.8909572581179,2013-12-06,6
Riki Fukuda,1472.6201168324985,2013-03-02,5
Tom Blackledge,1440.0,2011-02-26,1
Anthony Perosh,1453.8956421662306,2015-11-14,9
Maciej Jewtuszko,1444.3995955959003,2011-02-26,1
James Te Huna,1392.8824163069833,2016-03-19,9
Brian Bowles,1452.865216116392,2013-05-25,4
Damacio Page,1336.7325016901077,2012-07-11,3
Chris Weidman,1517.1108977859935,2024-12-07,20
Steve Cantwell,1354.237276721575,2012-02-25,3
Shane Roller,1423.3281719019567,2012-10-05,6
Danny Castillo,1475.178488246229,2015-12-19,14
Takeya Mizugaki,1494.9719503370284,2016-12-17,14
Reuben Duran,1411.779777931161,2013-03-16,4
Erik Koch,1501.710038816505,2019-07-27,10
Raphael Assuncao,1529.7766451085477,2023-03-11,19
Urijah Faber,1616.9008054934359,2019-12-14,18
Eddie Wineland,1410.9142506314909,2022-06-18,16
Kamal Shalorus,1372.6786257574843,2012-05-15,3
Joseph Benavidez,1650.7195851649403,2021-03-06,21
Costas Philippou,1543.2148259748656,2015-05-16,10
Nick Catone,1489.0613413000221,2014-02-01,4
Anthony Njokuani,1447.5807890238011,2014-10-04,8
Anthony Johnson,1774.7633193143613,2017-04-08,11
Chan Sung Jung,1608.8403097033768,2023-08-26,12
Alex Caceres,1621.9897055862018,2024-05-11,29
Mackens Semerzier,1500.0,2012-03-02,2
Michael McDonald,1594.1628958695894,2016-07-13,9
Edwin Figueroa,1411.2295127660445,2013-11-16,6
Jose Aldo,1673.0017591493802,2025-05-10,23
Benson Henderson,1761.2577215218469,2015-11-28,14
Ivan Menjivar,1458.0271091173338,2014-03-01,8
Charlie Valencia,1440.0,2011-04-30,1
Yves Jabouin,1414.680547249895,2015-08-23,10
Jorge Santiago,1406.6834819807045,2013-02-16,3
Cole Escovedo,1349.585768471017,2011-11-12,3
Renan Barao,1426.0949214390876,2019-11-16,17
Anthony Pettis,1730.389952283371,2020-12-19,20
Ed Herman,1498.3675399669676,2023-04-15,16
Tim Credeur,1440.0,2011-06-04,1
Chuck O'Neil,1452.0,2011-06-04,1
Chris Cope,1402.278659003184,2012-02-04,3
Ramsey Nijem,1484.2308793040734,2015-07-25,10
Tony Ferguson,1476.6562318454949,2024-08-03,24
Ryan McGillivray,1452.0,2011-06-04,1
Shamar Bailey,1429.4978481805338,2011-11-19,3
Clay Harvison,1407.4043023756426,2011-11-12,3
Justin Edwards,1398.5879129861787,2015-06-06,7
Scott Jorgensen,1329.8127629313935,2015-11-21,12
Ken Stone,1482.219319543047,2012-08-11,4
Francisco Rivera,1463.7951171426819,2016-07-30,10
Danny Downes,1409.6565080267503,2011-10-29,2
Dave Herman,1357.5564054507022,2013-07-06,5
Jon Olav Einemo,1416.0574463455084,2012-01-28,2
Vagner Rocha,1427.46047999422,2014-11-07,4
Jesse Bongfeldt,1449.6229496181481,2011-06-11,1
James Head,1441.0535924641538,2013-08-28,5
Jason Young,1409.41730667819,2012-09-29,4
Aaron Rosa,1432.5645610230024,2012-03-02,3
Javier Vazquez,1533.4561732399784,2011-06-26,1
Ricardo Lamas,1644.236938942737,2020-08-29,17
Matt Grice,1455.1170242283529,2013-02-23,3
Edward Faaloloto,1375.769942337344,2011-11-05,2
Manvel Gamburyan,1473.6599101358138,2016-11-19,9
Dominick Cruz,1669.733011094382,2022-08-13,10
