fighter,cluster,archetype,current_age,cum_fights,career_win_rate_traj,career_finish_rate,win_rate_l5_vs_career,finish_rate_trend,fights_since_finish,longest_lose_streak_ever
Kyle Kingsbury,1,Veteran Contender,44.1,17,0.6470588235294118,0.35294117647058826,-0.24705882352941178,-0.15294117647058825,3.0,3
Kyle Nelson,4,Active Performer,29.0,25,0.68,0.4,0.12,-0.2,1.0,4
Kyle Noke,1,Veteran Contender,46.1,32,0.6875,0.5,-0.2875,-0.3,1.0,2
Kyle Prepolec,4,Active Performer,29.0,28,0.6428571428571429,0.5,-0.04285714285714293,0.09999999999999998,1.0,2
Kyle Stewart,1,Veteran Contender,37.3,21,0.7142857142857143,0.47619047619047616,-0.3142857142857143,-0.27619047619047615,2.0,2
Kyle Watson,4,Active Performer,46.8,21,0.6190476190476191,0.5714285714285714,0.18095238095238098,0.02857142857142858,1.0,2
Kyler Phillips,0,Fading Contender,29.0,18,0.7777777777777778,0.4444444444444444,-0.1777777777777778,-0.2444444444444444,3.0,2
Kyoji Horiguchi,2,Elite Finisher,29.0,41,0.8536585365853658,0.5121951219512195,-0.05365853658536579,-0.1121951219512195,2.0,2
Kyung Ho Kang,0,Fading Contender,29.0,30,0.6333333333333333,0.4666666666666667,-0.033333333333333326,-0.26666666666666666,0.0,2
Lance Benoist,1,Veteran Contender,37.7,8,0.75,0.625,-0.15000000000000002,-0.22499999999999998,2.0,2
Lance Gibson Jr.,0,Fading Contender,29.0,12,0.75,0.5833333333333334,-0.35,-0.18333333333333335,1.0,2
Lando Vannata,3,Veteran Contender,29.0,23,0.5217391304347826,0.391304347826087,-0.3217391304347826,-0.391304347826087,6.0,5
Landon Quinones,4,Active Performer,29.0,11,0.6363636363636364,0.5454545454545454,-0.036363636363636376,-0.1454545454545454,1.0,2
Lara Procopio,2,Elite Finisher,30.5,15,0.8,0.7333333333333333,0.0,-0.1333333333333333,2.0,2
Larissa Pacheco,2,Elite Finisher,31.7,27,0.8518518518518519,0.7037037037037037,0.14814814814814814,-0.3037037037037037,0.0,2
Laureano Staropoli,4,Active Performer,33.2,19,0.6842105263157895,0.5263157894736842,0.11578947368421055,0.0736842105263158,0.0,4
Lauren Mueller,3,Veteran Contender,34.5,8,0.625,0.125,-0.22499999999999998,-0.125,5.0,3
Lauren Murphy,0,Fading Contender,29.0,22,0.7272727272727273,0.4090909090909091,-0.12727272727272732,-0.2090909090909091,3.0,2
Lavar Johnson,1,Veteran Contender,48.9,27,0.6666666666666666,0.6666666666666666,-0.4666666666666666,-0.4666666666666666,0.0,3
Lawrence Lui,2,Elite Finisher,29.0,11,0.9090909090909091,0.45454545454545453,0.09090909090909094,-0.05454545454545451,0.0,1
Leah Letson,2,Elite Finisher,33.7,6,0.8333333333333334,0.5,0.16666666666666663,0.09999999999999998,0.0,1
Leandro Issa,4,Active Performer,42.6,25,0.68,0.52,-0.08000000000000007,-0.12,0.0,2
Leandro Silva,4,Active Performer,40.5,7,0.42857142857142855,0.14285714285714285,0.17142857142857143,0.05714285714285716,3.0,2
Leo Kuntz,1,Veteran Contender,42.6,23,0.782608695652174,0.5652173913043478,-0.3826086956521739,-0.16521739130434776,0.0,2
Leon Edwards,0,Fading Contender,29.0,28,0.7857142857142857,0.35714285714285715,-0.18571428571428572,-0.15714285714285714,3.0,2
Leonard Garcia,4,Active Performer,46.8,31,0.5806451612903226,0.4838709677419355,0.019354838709677358,0.11612903225806448,0.0,5
Leonardo Augusto Leleco,2,Elite Finisher,29.0,15,0.8,0.7333333333333333,0.0,-0.1333333333333333,2.0,2
Leonardo Mafra,1,Veteran Contender,37.0,21,0.7142857142857143,0.47619047619047616,-0.3142857142857143,-0.27619047619047615,2.0,1
Leonardo Morales,0,Fading Contender,33.4,25,0.6,0.44,-0.19999999999999996,-0.24,0.0,2
Leonardo Santos,1,Veteran Contender,46.3,24,0.75,0.5,-0.15000000000000002,-0.3,2.0,2
Lerone Murphy,2,Elite Finisher,29.0,19,0.9473684210526315,0.42105263157894735,0.052631578947368474,-0.22105263157894733,6.0,1
Lerryan Douglas,4,Active Performer,29.0,18,0.7222222222222222,0.5555555555555556,0.2777777777777778,0.4444444444444444,0.0,2
Leslie Smith,4,Active Performer,43.7,21,0.5714285714285714,0.23809523809523808,0.22857142857142865,-0.03809523809523807,2.0,2
Levan Makashvili,3,Veteran Contender,37.3,32,0.65625,0.3125,-0.45625,-0.11249999999999999,10.0,5
Lewis Gonzalez,3,Veteran Contender,38.6,15,0.7333333333333333,0.4666666666666667,-0.33333333333333326,-0.4666666666666667,7.0,2
Li Jingliang,0,Fading Contender,29.0,27,0.7037037037037037,0.5185185185185185,-0.3037037037037037,-0.11851851851851847,0.0,1
Liana Jojua,0,Fading Contender,31.1,13,0.5384615384615384,0.46153846153846156,-0.3384615384615384,-0.26153846153846155,2.0,3
Liang Na,0,Fading Contender,29.0,30,0.7,0.6333333333333333,-0.29999999999999993,-0.23333333333333328,0.0,5
Liliya Shakirova,2,Elite Finisher,34.5,9,0.8888888888888888,0.4444444444444444,-0.0888888888888888,-0.0444444444444444,1.0,1
