date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type
2020-12-12,Mackenzie Dern,Virna Jandiroba,Women's Strawweight,3,53.41,53.41,Mackenzie Dern,59.63,-6.21,6.21,4,Value,-1,-160.0,1,1,1,,,1,train,NO_EDGE
2020-12-19,Gillian Robertson,Taila Santos,Women's Flyweight,3,34.32,34.32,Taila Santos,42.89,22.79,22.79,6,Max Value,1,125.0,1,0,0,,,1,train,CONFIRM_DOG
2020-12-19,Sijara Eubanks,Pannie Kianzad,Women's Bantamweight,3,50.41,50.41,Sijara Eubanks,56.2,-5.79,5.79,4,Value,-1,-140.0,1,1,1,,,0,train,NO_EDGE
2021-01-16,Sarah Moras,Vanessa Melo,Women's Bantamweight,3,49.83,49.83,Vanessa Melo,33.88,16.29,16.29,6,Max Value,1,180.0,1,0,0,,,1,train,CONFIRM_DOG
2021-01-16,Wu Yanan,Joselyne Edwards,Women's Bantamweight,3,40.34,40.34,Joselyne Edwards,50.0,9.66,9.66,5,Strong Value,1,-110.0,1,0,0,,,1,train,CONFIRM_DOG
2021-01-20,Victoria Leonardo,Manon Fiorot,Women's Flyweight,3,37.84,37.84,Manon Fiorot,64.82,-2.66,2.66,2,Lean,-1,-215.0,1,1,1,,,1,train,NO_EDGE
2021-01-20,Roxanne Modafferi,Viviane Araujo,Women's Flyweight,3,19.79,19.79,Viviane Araujo,73.49,6.72,6.72,4,Value,1,-335.0,1,1,1,,,1,train,CONFIRM_FAV
2021-01-23,Jessica Eye,Joanne Calderwood,Women's Flyweight,3,31.62,31.62,Joanne Calderwood,51.28,17.1,17.1,6,Max Value,1,-117.0,1,0,0,,,1,train,CONFIRM_DOG
2021-01-23,Julianna Pena,Sara McMann,Women's Bantamweight,3,54.43,54.43,Julianna Pena,46.32,8.1,8.1,5,Strong Value,1,105.0,1,0,0,,,1,train,CONFIRM_DOG
2021-01-23,Marina Rodriguez,Amanda Ribas,Women's Strawweight,3,43.46,43.46,Amanda Ribas,72.94,-16.4,16.4,6,Max Value,-1,-335.0,1,1,1,,,0,train,NO_EDGE
2021-02-06,Molly McCann,Lara Procopio,Women's Flyweight,3,53.9,53.9,Molly McCann,60.53,-6.63,6.63,4,Value,-1,-177.0,1,1,1,,,0,train,NO_EDGE
2021-02-13,Polyana Viana,Mallory Martin,Women's Strawweight,3,59.46,59.46,Polyana Viana,48.31,11.14,11.14,6,Max Value,1,100.0,1,0,0,,,1,train,CONFIRM_DOG
2021-02-13,Maycee Barber,Alexa Grasso,Women's Flyweight,3,62.43,62.43,Maycee Barber,50.0,12.43,12.43,6,Max Value,1,-107.0,1,1,1,,,0,train,CONFIRM_FAV
2021-02-20,Shana Dobson,Casey O'Neill,Women's Flyweight,3,17.32,17.32,Casey O'Neill,57.76,24.92,24.92,6,Max Value,1,-155.0,1,1,1,,,1,train,CONFIRM_FAV
2021-02-20,Ketlen Vieira,Yana Kunitskaya,Women's Bantamweight,3,48.57,48.57,Yana Kunitskaya,30.15,21.28,21.28,6,Max Value,1,215.0,1,0,0,,,1,train,CONFIRM_DOG
2021-02-27,Alexis Davis,Sabina Mazo,Women's Bantamweight,3,50.08,50.08,Alexis Davis,34.51,15.56,15.56,6,Max Value,1,178.0,1,0,0,,,1,train,CONFIRM_DOG
2021-03-06,Amanda Nunes,Megan Anderson,Women's Featherweight,5,83.89,83.89,Amanda Nunes,84.0,-0.11,0.11,0,Lock,-1,-700.0,1,1,1,,,1,train,NO_EDGE
2021-03-06,Livinha Souza,Amanda Lemos,Women's Strawweight,3,32.74,32.74,Amanda Lemos,67.92,-0.66,0.66,0,Lock,-1,-240.0,1,1,1,,,1,train,NO_EDGE
2021-03-13,Angela Hill,Ashley Yoder,Women's Strawweight,3,65.21,65.21,Angela Hill,73.96,-8.75,8.75,5,Strong Value,-1,-330.0,1,1,1,,,1,train,NO_EDGE
2021-03-13,Gloria de Paula,Jinh Yu Frey,Women's Strawweight,3,53.76,53.76,Gloria de Paula,64.29,-10.53,10.53,6,Max Value,-1,-200.0,1,1,1,,,0,train,NO_EDGE
2021-03-13,Cortney Casey,JJ Aldrich,Women's Flyweight,3,34.11,34.11,JJ Aldrich,56.57,9.31,9.31,5,Strong Value,1,-142.0,1,1,1,,,1,train,CONFIRM_FAV
2021-03-20,Marion Reneau,Macy Chiasson,Women's Bantamweight,3,27.66,27.66,Macy Chiasson,66.36,5.98,5.98,4,Value,1,-225.0,1,1,1,,,1,train,CONFIRM_FAV
2021-03-20,Cheyanne Buys,Montserrat Conejo,Women's Strawweight,3,43.54,43.54,Montserrat Conejo,30.2,26.26,26.26,6,Max Value,1,220.0,1,0,0,,,1,train,CONFIRM_DOG
2021-03-27,Gillian Robertson,Miranda Maverick,Women's Flyweight,3,46.49,46.49,Miranda Maverick,57.11,-3.6,3.6,3,Watch,-1,-145.0,1,1,1,,,1,train,NO_EDGE
2021-04-10,Nina Nunes,Mackenzie Dern,Women's Strawweight,3,48.79,48.79,Mackenzie Dern,47.83,3.38,3.38,3,Watch,1,100.0,1,0,0,,,1,train,CONFIRM_DOG
2021-04-17,Tracy Cortez,Justine Kish,Women's Flyweight,3,75.8,75.8,Tracy Cortez,73.62,2.17,2.17,2,Lean,1,-325.0,1,1,1,,,1,train,CONFIRM_FAV
