date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type,corner_swapped
2018-03-03,Yana Kunitskaya,Cris Cyborg,Women's Featherweight,5,34.31999999999999,34.31999999999999,Cris Cyborg,87.21,-21.53,21.53,6,Max Value,-1,-1000.0,1,1,1,,,1,train,NO_EDGE,1
2018-03-03,Mackenzie Dern,Ashley Yoder,Women's Strawweight,3,50.28,50.28,Mackenzie Dern,80.27,-30.0,30.0,6,Max Value,-1,-490.0,1,1,1,,,1,train,NO_EDGE,1
2018-03-03,Ketlen Vieira,Cat Zingano,Women's Bantamweight,3,59.61,59.61,Ketlen Vieira,65.07,-5.46,5.46,4,Value,-1,-210.0,1,1,1,,,1,train,NO_EDGE,1
2018-04-07,Felice Herrig,Karolina Kowalkiewicz,Women's Strawweight,3,44.29,44.29,Karolina Kowalkiewicz,63.45,-7.75,7.75,4,Value,-1,-190.0,1,1,1,,,1,train,NO_EDGE,1
2018-04-07,Rose Namajunas,Joanna Jedrzejczyk,Women's Strawweight,5,55.58,55.58,Rose Namajunas,50.0,5.58,5.58,4,Value,1,-110.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-04-07,Ashlee Evans-Smith,Bec Rawlings,Women's Flyweight,3,53.58,53.58,Ashlee Evans-Smith,64.29,-10.71,10.71,6,Max Value,-1,-200.0,1,1,1,,,1,train,NO_EDGE,1
2018-04-14,Lauren Mueller,Shana Dobson,Women's Flyweight,3,71.86,71.86,Lauren Mueller,59.63,12.23,12.23,6,Max Value,1,-160.0,1,1,1,,,1,train,CONFIRM_FAV,1
2018-04-14,Michelle Waterson,Cortney Casey,Women's Strawweight,3,56.7,56.7,Michelle Waterson,39.6,17.1,17.1,6,Max Value,1,145.0,1,0,0,,,1,train,CONFIRM_DOG,0
2018-05-12,Amanda Cooper,Mackenzie Dern,Women's Strawweight,3,44.15,44.15,Mackenzie Dern,69.8,-13.95,13.95,6,Max Value,-1,-260.0,1,1,1,,,1,train,NO_EDGE,1
2018-05-12,Raquel Pennington,Amanda Nunes,Women's Bantamweight,5,24.700000000000003,24.700000000000003,Amanda Nunes,84.0,-8.7,8.7,5,Strong Value,-1,-700.0,1,1,1,,,1,train,NO_EDGE,1
2018-05-19,Syuri Kondo,Poliana Botelho,Women's Strawweight,3,23.900000000000006,23.900000000000006,Poliana Botelho,62.64,13.47,13.47,6,Max Value,1,-174.0,1,1,1,,,1,train,CONFIRM_FAV,1
2018-05-19,Andrea Lee,Veronica Macedo,Women's Flyweight,3,45.71,45.71,Veronica Macedo,25.4,28.89,28.89,6,Max Value,1,280.0,1,0,0,,,0,train,CONFIRM_DOG,1
2018-05-19,Alexa Grasso,Tatiana Suarez,Women's Strawweight,3,29.48,29.48,Tatiana Suarez,81.63,-11.1,11.1,6,Max Value,-1,-550.0,1,1,1,,,1,train,NO_EDGE,0
2018-05-27,Gina Mazany,Lina Lansberg,Women's Bantamweight,3,55.07,55.07,Gina Mazany,59.63,-4.55,4.55,3,Watch,-1,-160.0,1,1,1,,,0,train,NO_EDGE,1
2018-05-27,Gillian Robertson,Molly McCann,Women's Flyweight,3,61.5,61.5,Gillian Robertson,41.18,20.32,20.32,6,Max Value,1,135.0,1,0,0,,,1,train,CONFIRM_DOG,0
2018-06-01,Sijara Eubanks,Lauren Murphy,Women's Flyweight,3,44.92,44.92,Lauren Murphy,34.93,20.15,20.15,6,Max Value,1,175.0,1,0,0,,,0,train,CONFIRM_DOG,0
2018-06-09,Carla Esparza,Claudia Gadelha,Women's Strawweight,3,42.71,42.71,Claudia Gadelha,70.66,-13.37,13.37,6,Max Value,-1,-270.0,1,1,1,,,1,train,NO_EDGE,1
2018-06-09,Holly Holm,Megan Anderson,Women's Featherweight,3,70.6,70.6,Holly Holm,57.11,13.49,13.49,6,Max Value,1,-145.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-06-23,Melinda Fabian,Ji Yeon Kim,Women's Flyweight,3,58.38,58.38,Melinda Fabian,38.85,19.53,19.53,6,Max Value,1,150.0,1,0,0,,,0,train,CONFIRM_DOG,1
2018-06-23,Yan Xiaonan,Viviane Pereira,Women's Strawweight,3,70.05,70.05,Yan Xiaonan,39.6,30.45,30.45,6,Max Value,1,145.0,1,0,0,,,1,train,CONFIRM_DOG,1
2018-06-23,Jessica-Rose Clark,Jessica Eye,Women's Flyweight,3,53.79,53.79,Jessica-Rose Clark,60.4,-6.61,6.61,4,Value,-1,-165.0,1,1,1,,,0,train,NO_EDGE,0
2018-07-06,Montana De La Rosa,Rachael Ostovich,Women's Flyweight,3,64.03,64.03,Montana De La Rosa,57.11,6.92,6.92,4,Value,1,-145.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-07-06,Roxanne Modafferi,Barb Honchak,Women's Flyweight,3,49.96,49.96,Barb Honchak,57.98,-7.95,7.95,4,Value,-1,-150.0,1,1,1,,,0,train,NO_EDGE,0
2018-07-07,Emily Whitmire,Jamie Moyle,Women's Strawweight,3,58.0,58.0,Emily Whitmire,37.21,20.79,20.79,6,Max Value,1,160.0,1,0,0,,,1,train,CONFIRM_DOG,1
2018-07-14,Jodie Esquibel,Jessica Aguilar,Women's Strawweight,3,40.6,40.6,Jessica Aguilar,38.85,20.55,20.55,6,Max Value,1,150.0,1,0,0,,,1,train,CONFIRM_DOG,1
2018-07-14,Liz Carmouche,Jennifer Maia,Women's Flyweight,3,80.46,80.46,Liz Carmouche,51.08,29.37,29.37,6,Max Value,1,-115.0,1,1,1,,,1,train,CONFIRM_FAV,0
2018-07-14,Marion Reneau,Cat Zingano,Women's Bantamweight,3,33.61,33.61,Cat Zingano,50.0,16.39,16.39,6,Max Value,1,-110.0,1,1,1,,,1,train,CONFIRM_FAV,1
2018-07-28,Nina Ansaroff,Randa Markos,Women's Strawweight,3,53.43,53.43,Nina Ansaroff,56.2,-2.78,2.78,2,Lean,-1,-140.0,1,1,1,,,1,train,NO_EDGE,1
