name,ufc_wins,ufc_losses,sherdog_wins,sherdog_losses,sherdog_total,reasons
Vinicius Moreira,9,5,0,4,4,sh_wins(0)<ufc_wins(9)
Vinicius Oliveira,23,4,1,0,1,sh_wins(1)<ufc_wins(23); sh_total(1)<3 with ufc_wins=23
Warlley Alves,15,8,14,8,22,sh_wins(14)<ufc_wins(15)
Yair Rodriguez,21,6,0,1,1,sh_wins(0)<ufc_wins(21); sh_total(1)<3 with ufc_wins=21
Yana Santos,17,8,8,2,10,sh_wins(8)<ufc_wins(17)
Yizha,26,6,0,1,1,sh_wins(0)<ufc_wins(26); sh_total(1)<3 with ufc_wins=26
Zach Reese,10,3,0,1,1,sh_wins(0)<ufc_wins(10); sh_total(1)<3 with ufc_wins=10
Alex Torres,5,4,1,1,2,sh_wins(1)<ufc_wins(5); sh_total(2)<3 with ufc_wins=5
Aliaskhab Khizriev,14,0,12,0,13,sh_wins(12)<ufc_wins(14)
Allan Zuniga,13,1,13,8,21,wr_dif(0.62 vs 0.93)
Askar Mozharov,19,13,15,14,29,sh_wins(15)<ufc_wins(19)
Bruno Santos,15,2,0,1,1,sh_wins(0)<ufc_wins(15); sh_total(1)<3 with ufc_wins=15
Carlos Eduardo Rocha,9,4,0,2,2,sh_wins(0)<ufc_wins(9); sh_total(2)<3 with ufc_wins=9
Daniel Spohn,15,6,13,2,16,sh_wins(13)<ufc_wins(15)
Dean Barry,4,2,1,3,4,sh_wins(1)<ufc_wins(4)
Eric Nolan,8,4,1,2,3,sh_wins(1)<ufc_wins(8)
Felipe Franco,8,1,0,1,1,sh_wins(0)<ufc_wins(8); sh_total(1)<3 with ufc_wins=8
Georges St-Pierre,26,2,13,2,16,sh_wins(13)<ufc_wins(26)
Jack May,9,3,0,1,1,sh_wins(0)<ufc_wins(9); sh_total(1)<3 with ufc_wins=9
Javier Reyes,23,5,1,0,1,sh_wins(1)<ufc_wins(23); sh_total(1)<3 with ufc_wins=23
John Albert,6,5,1,0,1,sh_wins(1)<ufc_wins(6); sh_total(1)<3 with ufc_wins=6
Jorge de Oliveira,9,2,2,1,3,sh_wins(2)<ufc_wins(9)
Jose Maria,37,7,1,2,3,sh_wins(1)<ufc_wins(37)
Khalid Murtazaliev,14,2,13,3,16,sh_wins(13)<ufc_wins(14)
Luis Ramos,20,10,2,0,2,sh_wins(2)<ufc_wins(20); sh_total(2)<3 with ufc_wins=20
Luiz Dutra,13,6,1,0,1,sh_wins(1)<ufc_wins(13); sh_total(1)<3 with ufc_wins=13
Manoel Sousa,13,1,1,0,1,sh_wins(1)<ufc_wins(13); sh_total(1)<3 with ufc_wins=13
Manuel Rodriguez,11,5,0,2,2,sh_wins(0)<ufc_wins(11); sh_total(2)<3 with ufc_wins=11
Marcio Alexandre Junior,17,4,13,2,16,sh_wins(13)<ufc_wins(17)
Marcos Vinicius,23,11,1,1,2,sh_wins(1)<ufc_wins(23); sh_total(2)<3 with ufc_wins=23
Matt Lucas,15,3,2,2,4,sh_wins(2)<ufc_wins(15)
Mike Brown,26,9,1,1,3,sh_wins(1)<ufc_wins(26)
Mike Guymon,15,6,13,2,16,sh_wins(13)<ufc_wins(15)
Milton Vieira,13,8,0,1,1,sh_wins(0)<ufc_wins(13); sh_total(1)<3 with ufc_wins=13
Pablo Garza,12,4,4,0,4,sh_wins(4)<ufc_wins(12)
Paul Kelly,14,5,0,1,1,sh_wins(0)<ufc_wins(14); sh_total(1)<3 with ufc_wins=14
Rob Emerson,18,12,0,1,1,sh_wins(0)<ufc_wins(18); sh_total(1)<3 with ufc_wins=18
Robert Peralta,18,8,1,2,4,sh_wins(1)<ufc_wins(18)
Rodrigo Damm,13,9,12,9,21,sh_wins(12)<ufc_wins(13)
Rodrigo Sezinando,9,2,8,2,10,sh_wins(8)<ufc_wins(9)
Rodrigo de Lima,8,3,1,2,3,sh_wins(1)<ufc_wins(8)
Ryan McGillivray,12,0,12,6,19,wr_dif(0.63 vs 1.00)
TJ Grant,21,5,13,2,16,sh_wins(13)<ufc_wins(21)
TJ O'Brien,20,8,13,2,16,sh_wins(13)<ufc_wins(20)
TJ Waldburger,16,9,13,2,16,sh_wins(13)<ufc_wins(16)
Thiago Silva,19,6,2,3,5,sh_wins(2)<ufc_wins(19); wr_dif(0.40 vs 0.76)
Ty Miller,7,0,2,2,4,sh_wins(2)<ufc_wins(7)
Wagner Silva,6,3,8,0,8,wr_dif(1.00 vs 0.67)
Zviad Lazishvili,13,1,8,1,9,sh_wins(8)<ufc_wins(13)
