fighter_name,has_ufc_stats_url,ufc_stats_url
Bruno Lopes,True,http://ufcstats.com/fighter-details/0abcf6bc47191219
Bruno Silva,True,http://ufcstats.com/fighter-details/12ebd7d157e91701
Bryan Barberena,True,http://ufcstats.com/fighter-details/a331233f597090a5
Bryan Battle,True,http://ufcstats.com/fighter-details/f626118b6da0e020
Bryce Mitchell,True,http://ufcstats.com/fighter-details/d9c6f19f958643e9
CJ Vergara,True,http://ufcstats.com/fighter-details/077e3ace32b72be9
Caio Borralho,True,http://ufcstats.com/fighter-details/4126a78111c0855a
Caio Machado,True,http://ufcstats.com/fighter-details/89839250eb25c9c1
Calvin Kattar,True,http://ufcstats.com/fighter-details/751de04455cfaac0
Cam Rowston,True,http://ufcstats.com/fighter-details/8ebc3a8da015d70c
Cameron Saaiman,True,http://ufcstats.com/fighter-details/3c8a5200436e19f3
Cameron Smotherman,True,http://ufcstats.com/fighter-details/5c84f673b7bb7c15
Caolan Loughran,True,http://ufcstats.com/fighter-details/42ac4020cba261ad
Carl Deaton,True,http://ufcstats.com/fighter-details/914a897455693650
Carla Esparza,True,http://ufcstats.com/fighter-details/d910665038efc639
Carli Judice,True,http://ufcstats.com/fighter-details/f1ab6f37492c630a
Carlos Hernandez,True,http://ufcstats.com/fighter-details/798e48f9e7f6ba22
Carlos Leal,True,http://ufcstats.com/fighter-details/28d421729451c8ca
Carlos Prates,True,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3
Carlos Ulberg,True,http://ufcstats.com/fighter-details/9014c02eff8b3d62
Carlos Vera,True,http://ufcstats.com/fighter-details/07f959e6596307bb
Carlston Harris,True,http://ufcstats.com/fighter-details/a53d30163304aa6e
Casey O'Neill,True,http://ufcstats.com/fighter-details/04835018f90b118c
Cesar Almeida,True,http://ufcstats.com/fighter-details/64d47ef881a437a4
Cezary Oleksiejczuk,True,http://ufcstats.com/fighter-details/084532da3d25f3b8
Chad Anheliger,True,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Chan Sung Jung,True,http://ufcstats.com/fighter-details/c451d67c09c55418
ChangHo Lee,True,http://ufcstats.com/fighter-details/117a06469813e4ef
